"id","api_game_id","date","home_team_id","home_team_alias","home_points","away_team_id","away_team_alias","away_points","createdAt","updatedAt"
374,,"2017-12-09T02:30:00+00:00","583ecd4f-fb46-11e1-82cb-f4ce4684ea4c","SAS",105,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.806-04","2018-06-05 06:07:36.806-04"
423,,"2017-12-16T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",95,"583ece50-fb46-11e1-82cb-f4ce4684ea4c","UTA",107,"2018-06-05 06:07:36.812-04","2018-06-05 06:07:36.812-04"
436,,"2017-12-17T02:00:00+00:00","583eca88-fb46-11e1-82cb-f4ce4684ea4c","MEM",93,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.814-04","2018-06-05 06:07:36.814-04"
441,,"2017-12-19T00:00:00+00:00","583ec7cd-fb46-11e1-82cb-f4ce4684ea4c","IND",111,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",112,"2018-06-05 06:07:36.814-04","2018-06-05 06:07:36.814-04"
268,,"2017-11-25T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",118,"583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",103,"2018-06-05 06:07:36.793-04","2018-06-05 06:07:36.793-04"
326,,"2017-12-02T18:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",116,"583ecfa8-fb46-11e1-82cb-f4ce4684ea4c","PHX",111,"2018-06-05 06:07:36.799-04","2018-06-05 06:07:36.799-04"
356,,"2017-12-07T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",97,"583ecf50-fb46-11e1-82cb-f4ce4684ea4c","DAL",90,"2018-06-05 06:07:36.804-04","2018-06-05 06:07:36.804-04"
7,,"2017-10-18T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",100,"583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",108,"2018-06-05 06:07:36.754-04","2018-06-05 06:07:36.754-04"
67,,"2017-10-27T00:00:00+00:00","583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",89,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",96,"2018-06-05 06:07:36.761-04","2018-06-05 06:07:36.761-04"
93,,"2017-10-30T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"583ecd4f-fb46-11e1-82cb-f4ce4684ea4c","SAS",94,"2018-06-05 06:07:36.764-04","2018-06-05 06:07:36.764-04"
